# Mapping of demand for final fuels in GCAM-China (byu version) with detailed industry,,,,,,,,,,,,,,
sector,input,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,unit_conv
comm heating,hydrogen,Final Energy,Final Energy|Hydrogen,,,Final Energy|Commercial,Final Energy|Commercial|Hydrogen,,Final Energy|Commercial|Heating|Space,,,,,1
comm heating,refined liquids,Final Energy,Final Energy|Liquids,,,Final Energy|Commercial,Final Energy|Commercial|Liquids,,Final Energy|Commercial|Heating|Space,,,,,1
comm hot water_cooking,coal,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,,Final Energy|Commercial,Final Energy|Commercial|Solids,Final Energy|Commercial|Solids|Coal,Final Energy|Commercial|Heating|Space,Final Energy|Residential and Commercial|Commercial|Solids,Final Energy|Residential and Commercial|Commercial|Solids|Coal,,,1
comm hot water_cooking,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Commercial,Final Energy|Commercial|Electricity,,Final Energy|Commercial|Heating|Space,,,,,1
comm hot water_cooking,gas,Final Energy,Final Energy|Gases,,,Final Energy|Commercial,Final Energy|Commercial|Electricity,,Final Energy|Commercial|Heating|Space,,,,,1
comm hot water_cooking,refined liquids,Final Energy,Final Energy|Liquids,,,Final Energy|Commercial,Final Energy|Commercial|Liquids,,Final Energy|Commercial|Heating|Space,,,,,1
comm lighting,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Commercial,Final Energy|Commercial|Electricity,,Final Energy|Commercial|Heating|Space,,,,,1
comm others,biomass,Final Energy,Final Energy|Solids,Final Energy|Solids|Biomass,Final Energy|Solids|Biomass|Modern,Final Energy|Commercial,Final Energy|Commercial|Solids,Final Energy|Commercial|Solids|Biomass,,,,,,1
comm others,coal,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,,Final Energy|Commercial,Final Energy|Commercial|Solids,Final Energy|Commercial|Solids|Coal,,,,,,1
comm others,district heat,Final Energy,Final Energy|Heat,,,Final Energy|Commercial,Final Energy|Commercial|Heat,,,,,,,1
comm others,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Commercial,Final Energy|Commercial|Electricity,,,,,,,1
comm others,gas,Final Energy,Final Energy|Gases,,,Final Energy|Commercial,Final Energy|Commercial|Gases,,,,,,,1
comm others,hydrogen,Final Energy,Final Energy|Hydrogen,,,Final Energy|Commercial,Final Energy|Commercial|Hydrogen,,,,,,,1
comm others,refined liquids,Final Energy,Final Energy|Liquids,,,Final Energy|Commercial,Final Energy|Commercial|Liquids,,,,,,,1
construction,construction energy use,,,,,,,,,,,,,1
alumina,refined liquids,Final Energy,Final Energy|Liquids,,,Final Energy|Industry,,Final Energy|Industry|Liquids,,Final Energy|Industry|Non-ferrous metals,Final Energy|Industry|Non-ferrous metals|Liquids,,,1
aluminum,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Industry,,Final Energy|Industry|Electricity,,Final Energy|Industry|Non-ferrous metals,Final Energy|Industry|Non-ferrous metals|Liquids,,,1
agricultural energy use,coal,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,,Final Energy|Industry,,Final Energy|Industry|Solids,Final Energy|Industry|Solids|Coal,Final Energy|Industry|agricultural energy use,Final Energy|Industry|agricultural energy use|Solids,Final Energy|Industry|agricultural energy use|Solids|Coal,,1
agricultural energy use,district heat,Final Energy,Final Energy|Heat,,,Final Energy|Industry,,Final Energy|Industry|Heat,,Final Energy|Industry|agricultural energy use,Final Energy|Industry|agricultural energy use|Heat,,,1
agricultural energy use,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Industry,,Final Energy|Industry|Electricity,,Final Energy|Industry|agricultural energy use,Final Energy|Industry|agricultural energy use|Electricity,,,1
agricultural energy use,gas,Final Energy,Final Energy|Gases,,,Final Energy|Industry,,Final Energy|Industry|Gases,,Final Energy|Industry|agricultural energy use,Final Energy|Industry|agricultural energy use|Gases,,,1
construction feedstocks,refined liquids,Final Energy|Non-Energy Use,Final Energy|Non-Energy Use|Oil,,,,,,,,,,,1
desalinated water,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Industry,,Final Energy|Industry|Electricity,,,,,,1
desalinated water,gas,Final Energy,Final Energy|Gases,,,Final Energy|Industry,,Final Energy|Industry|Gases,,,,,,1
desalinated water,refined liquids,Final Energy,Final Energy|Liquids,,,Final Energy|Industry,,Final Energy|Industry|Liquids,,,,,,1
industrial wastewater treatment,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Industry,,Final Energy|Industry|Electricity,,,,,,1
industrial water abstraction,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Industry,,Final Energy|Industry|Electricity,,,,,,1
industrial water treatment,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Industry,,Final Energy|Industry|Electricity,,,,,,1
agricultural energy use,hydrogen,Final Energy,Final Energy|Hydrogen,,,Final Energy|Industry,,Final Energy|Industry|Hydrogen,,Final Energy|Industry|agricultural energy use,Final Energy|Industry|agricultural energy use|Hydrogen,,,1
agricultural energy use,refined liquids,Final Energy,Final Energy|Liquids,,,Final Energy|Industry,,Final Energy|Industry|Liquids,,Final Energy|Industry|agricultural energy use,Final Energy|Industry|agricultural energy use|Liquids,,,1
construction energy use,coal,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,,Final Energy|Industry,,Final Energy|Industry|Solids,Final Energy|Industry|Solids|Coal,Final Energy|Industry|construction energy use,Final Energy|Industry|construction energy use|Solids,Final Energy|Industry|construction energy use|Solids|Coal,,1
construction energy use,district heat,Final Energy,Final Energy|Heat,,,Final Energy|Industry,,Final Energy|Industry|Heat,,Final Energy|Industry|construction energy use,Final Energy|Industry|construction energy use|Heat,,,1
construction energy use,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Industry,,Final Energy|Industry|Electricity,,Final Energy|Industry|construction energy use,Final Energy|Industry|construction energy use|Electricity,,,1
construction energy use,gas,Final Energy,Final Energy|Gases,,,Final Energy|Industry,,Final Energy|Industry|Gases,,Final Energy|Industry|construction energy use,Final Energy|Industry|construction energy use|Gases,,,1
irrigation water abstraction,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Industry,,Final Energy|Industry|Electricity,,,,,,1
construction energy use,hydrogen,Final Energy,Final Energy|Hydrogen,,,Final Energy|Industry,,Final Energy|Industry|Hydrogen,,Final Energy|Industry|construction energy use,Final Energy|Industry|construction energy use|Hydrogen,,,1
construction energy use,refined liquids,Final Energy,Final Energy|Liquids,,,Final Energy|Industry,,Final Energy|Industry|Liquids,,Final Energy|Industry|construction energy use,Final Energy|Industry|construction energy use|Liquids,,,1
mining energy use,coal,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,,Final Energy|Industry,,Final Energy|Industry|Solids,Final Energy|Industry|Solids|Coal,Final Energy|Industry|mining energy use,Final Energy|Industry|mining energy use|Solids,Final Energy|Industry|mining energy use|Solids|Coal,,1
mining energy use,district heat,Final Energy,Final Energy|Heat,,,Final Energy|Industry,,Final Energy|Industry|Heat,,Final Energy|Industry|mining energy use,Final Energy|Industry|mining energy use|Heat,,,1
mining energy use,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Industry,,Final Energy|Industry|Electricity,,Final Energy|Industry|mining energy use,Final Energy|Industry|mining energy use|Electricity,,,1
