# Multiple load segments Electricity generation by technology (inc solar roofs),,,,,,,,,,
sector,subsector,technology,var1,var2,var3,var4,var6,var7,var8,unit_conv
subpeak generation,solar,CSP_subpeak,Secondary Energy|Electricity,Secondary Energy|Electricity|Solar,Secondary Energy|Electricity|Solar|CSP,Secondary Energy|Electricity|Non-Biomass Renewables,,,,1
subpeak generation,solar,PV_subpeak,Secondary Energy|Electricity,Secondary Energy|Electricity|Solar,Secondary Energy|Electricity|Solar|PV,Secondary Energy|Electricity|Non-Biomass Renewables,,,,1
subpeak generation,wind,wind_subpeak,Secondary Energy|Electricity,Secondary Energy|Electricity|Wind,Secondary Energy|Electricity|Wind|Onshore,Secondary Energy|Electricity|Non-Biomass Renewables,,,,1
base load generation,geothermal,geo_base,Secondary Energy|Electricity,Secondary Energy|Electricity|Geothermal,,Secondary Energy|Electricity|Non-Biomass Renewables,,,,1
peak generation,refined liquids,refined liquids_peak_steam/CT,Secondary Energy|Electricity,Secondary Energy|Electricity|Oil,Secondary Energy|Electricity|Oil|w/o CCS,,,,,1
base load generation,nuclear,nuc_base_Gen II,Secondary Energy|Electricity,Secondary Energy|Electricity|Nuclear,,,,,,1
base load generation,nuclear,nuc_base_Gen III,Secondary Energy|Electricity,Secondary Energy|Electricity|Nuclear,,,,,,1
base load generation,biomass,biomass_base_conv_CCS,Secondary Energy|Electricity,Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biomass|w/ CCS,,,,,1
base load generation,biomass,biomass_base_IGCC_CCS,Secondary Energy|Electricity,Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biomass|w/ CCS,,,,,1
base load generation,coal,coal_base_conv pul_CCS,Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/ CCS,,,,,1
base load generation,coal,coal_base_IGCC_CCS,Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/ CCS,,,,,1
base load generation,gas,gas_base_CC_CCS,Secondary Energy|Electricity,Secondary Energy|Electricity|Gas,Secondary Energy|Electricity|Gas|w/ CCS,Secondary Energy|Electricity|Gas|CC,Secondary Energy|Electricity|Gas|CC|w/ CCS,,,1
intermediate generation,biomass,biomass_int_conv_CCS,Secondary Energy|Electricity,Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biomass|w/ CCS,,,,,1
intermediate generation,biomass,biomass_int_IGCC_CCS,Secondary Energy|Electricity,Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biomass|w/ CCS,,,,,1
intermediate generation,coal,coal_int_conv pul_CCS,Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/ CCS,,,,,1
intermediate generation,coal,coal_int_IGCC_CCS,Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/ CCS,,,,,1
intermediate generation,gas,gas_int_CC_CCS,Secondary Energy|Electricity,Secondary Energy|Electricity|Gas,Secondary Energy|Electricity|Gas|w/ CCS,Secondary Energy|Electricity|Gas|CC,Secondary Energy|Electricity|Gas|CC|w/ CCS,,,1
subpeak generation,gas,gas_subpeak_CC_CCS,Secondary Energy|Electricity,Secondary Energy|Electricity|Gas,Secondary Energy|Electricity|Gas|w/ CCS,Secondary Energy|Electricity|Gas|CC,Secondary Energy|Electricity|Gas|CC|w/ CCS,,,1
peak generation,gas,gas_peak_CC_CCS,Secondary Energy|Electricity,Secondary Energy|Electricity|Gas,Secondary Energy|Electricity|Gas|w/ CCS,Secondary Energy|Electricity|Gas|CC,Secondary Energy|Electricity|Gas|CC|w/ CCS,,,1
