region,supplysector,subsector,stub.technology,year,capacity.factor
XJ,electricity,solar,PV,2085,0.2401
XZ,electricity,solar,PV,2085,0.3844
YN,electricity,solar,PV,2085,0.2981
ZJ,electricity,solar,PV,2085,0.2196
AH,electricity,wind,wind_offshore,2070,0.19
BJ,electricity,solar,PV_storage,2085,0.2322
CQ,electricity,solar,PV_storage,2085,0.1885
FJ,electricity,solar,PV_storage,2085,0.2404
GD,electricity,solar,PV_storage,2085,0.2391
GS,electricity,solar,PV_storage,2085,0.2668
GX,electricity,solar,PV_storage,2085,0.2292
GZ,electricity,solar,PV_storage,2085,0.2318
HA,electricity,solar,PV_storage,2085,0.2157
HB,electricity,solar,PV_storage,2085,0.2094
HE,electricity,solar,PV_storage,2085,0.2337
HI,electricity,solar,PV_storage,2085,0.2689
HL,electricity,solar,PV_storage,2085,0.215
HN,electricity,solar,PV_storage,2085,0.2045
JL,electricity,solar,PV_storage,2085,0.2221
JS,electricity,solar,PV_storage,2085,0.2154
JX,electricity,solar,PV_storage,2085,0.2184
LN,electricity,solar,PV_storage,2085,0.2259
NM,electricity,solar,PV_storage,2085,0.2529
NX,electricity,solar,PV_storage,2085,0.2665
QH,electricity,solar,PV_storage,2085,0.3241
SC,electricity,solar,PV_storage,2085,0.2396
SD,electricity,solar,PV_storage,2085,0.2221
SH,electricity,solar,PV_storage,2085,0.2094
SN,electricity,solar,PV_storage,2085,0.2376
SX,electricity,solar,PV_storage,2085,0.2453
TJ,electricity,solar,PV_storage,2085,0.2238
XJ,electricity,solar,PV_storage,2085,0.2401
XZ,electricity,solar,PV_storage,2085,0.3844
YN,electricity,solar,PV_storage,2085,0.2981
ZJ,electricity,solar,PV_storage,2085,0.2196
AH,electricity,wind,wind_offshore,2075,0.19
BJ,electricity,solar,PV,2090,0.2322
CQ,electricity,solar,PV,2090,0.1885
FJ,electricity,solar,PV,2090,0.2404
GD,electricity,solar,PV,2090,0.2391
GS,electricity,solar,PV,2090,0.2668
GX,electricity,solar,PV,2090,0.2292
GZ,electricity,solar,PV,2090,0.2318
HA,electricity,solar,PV,2090,0.2157
HB,electricity,solar,PV,2090,0.2094
HE,electricity,solar,PV,2090,0.2337
HI,electricity,solar,PV,2090,0.2689
HL,electricity,solar,PV,2090,0.215
HN,electricity,solar,PV,2090,0.2045
JL,electricity,solar,PV,2090,0.2221
JS,electricity,solar,PV,2090,0.2154
JX,electricity,solar,PV,2090,0.2184
LN,electricity,solar,PV,2090,0.2259
NM,electricity,solar,PV,2090,0.2529
NX,electricity,solar,PV,2090,0.2665
QH,electricity,solar,PV,2090,0.3241
SC,electricity,solar,PV,2090,0.2396
SD,electricity,solar,PV,2090,0.2221
SH,electricity,solar,PV,2090,0.2094
SN,electricity,solar,PV,2090,0.2376
SX,electricity,solar,PV,2090,0.2453
TJ,electricity,solar,PV,2090,0.2238
XJ,electricity,solar,PV,2090,0.2401
XZ,electricity,solar,PV,2090,0.3844
YN,electricity,solar,PV,2090,0.2981
ZJ,electricity,solar,PV,2090,0.2196
AH,electricity,wind,wind_offshore,2080,0.19
BJ,electricity,solar,PV_storage,2090,0.2322
CQ,electricity,solar,PV_storage,2090,0.1885
FJ,electricity,solar,PV_storage,2090,0.2404
GD,electricity,solar,PV_storage,2090,0.2391
GS,electricity,solar,PV_storage,2090,0.2668
GX,electricity,solar,PV_storage,2090,0.2292
GZ,electricity,solar,PV_storage,2090,0.2318
HA,electricity,solar,PV_storage,2090,0.2157
HB,electricity,solar,PV_storage,2090,0.2094
HE,electricity,solar,PV_storage,2090,0.2337
HI,electricity,solar,PV_storage,2090,0.2689
HL,electricity,solar,PV_storage,2090,0.215
HN,electricity,solar,PV_storage,2090,0.2045
JL,electricity,solar,PV_storage,2090,0.2221
JS,electricity,solar,PV_storage,2090,0.2154
JX,electricity,solar,PV_storage,2090,0.2184
LN,electricity,solar,PV_storage,2090,0.2259
NM,electricity,solar,PV_storage,2090,0.2529
NX,electricity,solar,PV_storage,2090,0.2665
QH,electricity,solar,PV_storage,2090,0.3241
SC,electricity,solar,PV_storage,2090,0.2396
SD,electricity,solar,PV_storage,2090,0.2221
SH,electricity,solar,PV_storage,2090,0.2094
SN,electricity,solar,PV_storage,2090,0.2376
SX,electricity,solar,PV_storage,2090,0.2453
TJ,electricity,solar,PV_storage,2090,0.2238
XJ,electricity,solar,PV_storage,2090,0.2401
XZ,electricity,solar,PV_storage,2090,0.3844
YN,electricity,solar,PV_storage,2090,0.2981
ZJ,electricity,solar,PV_storage,2090,0.2196
AH,electricity,wind,wind_offshore,2085,0.19
BJ,electricity,solar,PV,2095,0.2322
CQ,electricity,solar,PV,2095,0.1885
FJ,electricity,solar,PV,2095,0.2404
GD,electricity,solar,PV,2095,0.2391
GS,electricity,solar,PV,2095,0.2668
GX,electricity,solar,PV,2095,0.2292
GZ,electricity,solar,PV,2095,0.2318
HA,electricity,solar,PV,2095,0.2157
HB,electricity,solar,PV,2095,0.2094
HE,electricity,solar,PV,2095,0.2337
HI,electricity,solar,PV,2095,0.2689
HL,electricity,solar,PV,2095,0.215
HN,electricity,solar,PV,2095,0.2045
JL,electricity,solar,PV,2095,0.2221
JS,electricity,solar,PV,2095,0.2154
JX,electricity,solar,PV,2095,0.2184
LN,electricity,solar,PV,2095,0.2259
NM,electricity,solar,PV,2095,0.2529
NX,electricity,solar,PV,2095,0.2665
QH,electricity,solar,PV,2095,0.3241
SC,electricity,solar,PV,2095,0.2396
SD,electricity,solar,PV,2095,0.2221
SH,electricity,solar,PV,2095,0.2094
SN,electricity,solar,PV,2095,0.2376
SX,electricity,solar,PV,2095,0.2453
TJ,electricity,solar,PV,2095,0.2238
XJ,electricity,solar,PV,2095,0.2401
XZ,electricity,solar,PV,2095,0.3844
YN,electricity,solar,PV,2095,0.2981
ZJ,electricity,solar,PV,2095,0.2196
AH,electricity,wind,wind_offshore,2090,0.19
BJ,electricity,solar,PV_storage,2095,0.2322
CQ,electricity,solar,PV_storage,2095,0.1885
FJ,electricity,solar,PV_storage,2095,0.2404
GD,electricity,solar,PV_storage,2095,0.2391
GS,electricity,solar,PV_storage,2095,0.2668
GX,electricity,solar,PV_storage,2095,0.2292
GZ,electricity,solar,PV_storage,2095,0.2318
HA,electricity,solar,PV_storage,2095,0.2157
HB,electricity,solar,PV_storage,2095,0.2094
HE,electricity,solar,PV_storage,2095,0.2337
HI,electricity,solar,PV_storage,2095,0.2689
HL,electricity,solar,PV_storage,2095,0.215
HN,electricity,solar,PV_storage,2095,0.2045
JL,electricity,solar,PV_storage,2095,0.2221
JS,electricity,solar,PV_storage,2095,0.2154
JX,electricity,solar,PV_storage,2095,0.2184
LN,electricity,solar,PV_storage,2095,0.2259
NM,electricity,solar,PV_storage,2095,0.2529
NX,electricity,solar,PV_storage,2095,0.2665
QH,electricity,solar,PV_storage,2095,0.3241
SC,electricity,solar,PV_storage,2095,0.2396
SD,electricity,solar,PV_storage,2095,0.2221
SH,electricity,solar,PV_storage,2095,0.2094
SN,electricity,solar,PV_storage,2095,0.2376
SX,electricity,solar,PV_storage,2095,0.2453
TJ,electricity,solar,PV_storage,2095,0.2238
XJ,electricity,solar,PV_storage,2095,0.2401
XZ,electricity,solar,PV_storage,2095,0.3844
YN,electricity,solar,PV_storage,2095,0.2981
ZJ,electricity,solar,PV_storage,2095,0.2196
AH,electricity,wind,wind_offshore,2095,0.19
BJ,electricity,solar,PV,2100,0.2322
CQ,electricity,solar,PV,2100,0.1885
FJ,electricity,solar,PV,2100,0.2404
GD,electricity,solar,PV,2100,0.2391
GS,electricity,solar,PV,2100,0.2668
GX,electricity,solar,PV,2100,0.2292
GZ,electricity,solar,PV,2100,0.2318
HA,electricity,solar,PV,2100,0.2157
HB,electricity,solar,PV,2100,0.2094
HE,electricity,solar,PV,2100,0.2337
HI,electricity,solar,PV,2100,0.2689
HL,electricity,solar,PV,2100,0.215
HN,electricity,solar,PV,2100,0.2045
JL,electricity,solar,PV,2100,0.2221
JS,electricity,solar,PV,2100,0.2154
JX,electricity,solar,PV,2100,0.2184
LN,electricity,solar,PV,2100,0.2259
NM,electricity,solar,PV,2100,0.2529
NX,electricity,solar,PV,2100,0.2665
QH,electricity,solar,PV,2100,0.3241
SC,electricity,solar,PV,2100,0.2396
SD,electricity,solar,PV,2100,0.2221
SH,electricity,solar,PV,2100,0.2094
SN,electricity,solar,PV,2100,0.2376
SX,electricity,solar,PV,2100,0.2453
TJ,electricity,solar,PV,2100,0.2238
XJ,electricity,solar,PV,2100,0.2401
XZ,electricity,solar,PV,2100,0.3844
YN,electricity,solar,PV,2100,0.2981
ZJ,electricity,solar,PV,2100,0.2196
AH,electricity,wind,wind_offshore,2100,0.19
BJ,electricity,solar,PV_storage,2100,0.2322
CQ,electricity,solar,PV_storage,2100,0.1885
FJ,electricity,solar,PV_storage,2100,0.2404
GD,electricity,solar,PV_storage,2100,0.2391
GS,electricity,solar,PV_storage,2100,0.2668
GX,electricity,solar,PV_storage,2100,0.2292
GZ,electricity,solar,PV_storage,2100,0.2318
HA,electricity,solar,PV_storage,2100,0.2157
HB,electricity,solar,PV_storage,2100,0.2094
HE,electricity,solar,PV_storage,2100,0.2337
HI,electricity,solar,PV_storage,2100,0.2689
HL,electricity,solar,PV_storage,2100,0.215
HN,electricity,solar,PV_storage,2100,0.2045
JL,electricity,solar,PV_storage,2100,0.2221
JS,electricity,solar,PV_storage,2100,0.2154
JX,electricity,solar,PV_storage,2100,0.2184
LN,electricity,solar,PV_storage,2100,0.2259
NM,electricity,solar,PV_storage,2100,0.2529
NX,electricity,solar,PV_storage,2100,0.2665
QH,electricity,solar,PV_storage,2100,0.3241
SC,electricity,solar,PV_storage,2100,0.2396
SD,electricity,solar,PV_storage,2100,0.2221
SH,electricity,solar,PV_storage,2100,0.2094
SN,electricity,solar,PV_storage,2100,0.2376
SX,electricity,solar,PV_storage,2100,0.2453
TJ,electricity,solar,PV_storage,2100,0.2238
XJ,electricity,solar,PV_storage,2100,0.2401
XZ,electricity,solar,PV_storage,2100,0.3844
YN,electricity,solar,PV_storage,2100,0.2981
ZJ,electricity,solar,PV_storage,2100,0.2196
AH,electricity,wind,wind,1975,0.19
BJ,electricity,solar,CSP,1975,0.2896
CQ,electricity,solar,CSP,1975,0.1257
FJ,electricity,solar,CSP,1975,0.1909
GD,electricity,solar,CSP,1975,0.1699
GS,electricity,solar,CSP,1975,0.3518
GX,electricity,solar,CSP,1975,0.1619
GZ,electricity,solar,CSP,1975,0.1825
HA,electricity,solar,CSP,1975,0.1938
HB,electricity,solar,CSP,1975,0.1596
HE,electricity,solar,CSP,1975,0.2888
HI,electricity,solar,CSP,1975,0.2357
HL,electricity,solar,CSP,1975,0.2439
HN,electricity,solar,CSP,1975,0.1471
JL,electricity,solar,CSP,1975,0.2365
JS,electricity,solar,CSP,1975,0.2064
JX,electricity,solar,CSP,1975,0.1761
LN,electricity,solar,CSP,1975,0.2531
NM,electricity,solar,CSP,1975,0.3481
NX,electricity,solar,CSP,1975,0.343
QH,electricity,solar,CSP,1975,0.4579
SC,electricity,solar,CSP,1975,0.212
SD,electricity,solar,CSP,1975,0.2404
SH,electricity,solar,CSP,1975,0.1953
SN,electricity,solar,CSP,1975,0.2554
SX,electricity,solar,CSP,1975,0.3119
TJ,electricity,solar,CSP,1975,0.261
XJ,electricity,solar,CSP,1975,0.3255
XZ,electricity,solar,CSP,1975,0.5759
YN,electricity,solar,CSP,1975,0.3269
ZJ,electricity,solar,CSP,1975,0.1933
AH,electricity,wind,wind,1990,0.19
BJ,electricity,solar,CSP_storage,1975,0.5756
CQ,electricity,solar,CSP_storage,1975,0.2498
FJ,electricity,solar,CSP_storage,1975,0.3795
GD,electricity,solar,CSP_storage,1975,0.3376
GS,electricity,solar,CSP_storage,1975,0.6991
GX,electricity,solar,CSP_storage,1975,0.3218
GZ,electricity,solar,CSP_storage,1975,0.3627
HA,electricity,solar,CSP_storage,1975,0.3851
HB,electricity,solar,CSP_storage,1975,0.3171
HE,electricity,solar,CSP_storage,1975,0.5741
HI,electricity,solar,CSP_storage,1975,0.4686
HL,electricity,solar,CSP_storage,1975,0.4847
HN,electricity,solar,CSP_storage,1975,0.2923
JL,electricity,solar,CSP_storage,1975,0.4701
JS,electricity,solar,CSP_storage,1975,0.4102
JX,electricity,solar,CSP_storage,1975,0.35
LN,electricity,solar,CSP_storage,1975,0.503
NM,electricity,solar,CSP_storage,1975,0.6918
NX,electricity,solar,CSP_storage,1975,0.6817
QH,electricity,solar,CSP_storage,1975,0.9101
SC,electricity,solar,CSP_storage,1975,0.4214
SD,electricity,solar,CSP_storage,1975,0.4779
SH,electricity,solar,CSP_storage,1975,0.3882
SN,electricity,solar,CSP_storage,1975,0.5077
SX,electricity,solar,CSP_storage,1975,0.62
TJ,electricity,solar,CSP_storage,1975,0.5188
XJ,electricity,solar,CSP_storage,1975,0.647
XZ,electricity,solar,CSP_storage,1975,1.1447
YN,electricity,solar,CSP_storage,1975,0.6498
ZJ,electricity,solar,CSP_storage,1975,0.3842
AH,electricity,wind,wind,2005,0.19
BJ,electricity,solar,CSP,1990,0.2896
CQ,electricity,solar,CSP,1990,0.1257
FJ,electricity,solar,CSP,1990,0.1909
GD,electricity,solar,CSP,1990,0.1699
GS,electricity,solar,CSP,1990,0.3518
GX,electricity,solar,CSP,1990,0.1619
GZ,electricity,solar,CSP,1990,0.1825
HA,electricity,solar,CSP,1990,0.1938
HB,electricity,solar,CSP,1990,0.1596
HE,electricity,solar,CSP,1990,0.2888
HI,electricity,solar,CSP,1990,0.2357
HL,electricity,solar,CSP,1990,0.2439
HN,electricity,solar,CSP,1990,0.1471
JL,electricity,solar,CSP,1990,0.2365
JS,electricity,solar,CSP,1990,0.2064
JX,electricity,solar,CSP,1990,0.1761
LN,electricity,solar,CSP,1990,0.2531
NM,electricity,solar,CSP,1990,0.3481
NX,electricity,solar,CSP,1990,0.343
QH,electricity,solar,CSP,1990,0.4579
SC,electricity,solar,CSP,1990,0.212
SD,electricity,solar,CSP,1990,0.2404
SH,electricity,solar,CSP,1990,0.1953
SN,electricity,solar,CSP,1990,0.2554
SX,electricity,solar,CSP,1990,0.3119
TJ,electricity,solar,CSP,1990,0.261
XJ,electricity,solar,CSP,1990,0.3255
XZ,electricity,solar,CSP,1990,0.5759
YN,electricity,solar,CSP,1990,0.3269
ZJ,electricity,solar,CSP,1990,0.1933
AH,electricity,wind,wind,2010,0.19
BJ,electricity,solar,CSP_storage,1990,0.5756
CQ,electricity,solar,CSP_storage,1990,0.2498
FJ,electricity,solar,CSP_storage,1990,0.3795
GD,electricity,solar,CSP_storage,1990,0.3376
GS,electricity,solar,CSP_storage,1990,0.6991
GX,electricity,solar,CSP_storage,1990,0.3218
GZ,electricity,solar,CSP_storage,1990,0.3627
HA,electricity,solar,CSP_storage,1990,0.3851
HB,electricity,solar,CSP_storage,1990,0.3171
HE,electricity,solar,CSP_storage,1990,0.5741
HI,electricity,solar,CSP_storage,1990,0.4686
HL,electricity,solar,CSP_storage,1990,0.4847
HN,electricity,solar,CSP_storage,1990,0.2923
JL,electricity,solar,CSP_storage,1990,0.4701
JS,electricity,solar,CSP_storage,1990,0.4102
JX,electricity,solar,CSP_storage,1990,0.35
LN,electricity,solar,CSP_storage,1990,0.503
NM,electricity,solar,CSP_storage,1990,0.6918
NX,electricity,solar,CSP_storage,1990,0.6817
QH,electricity,solar,CSP_storage,1990,0.9101
SC,electricity,solar,CSP_storage,1990,0.4214
SD,electricity,solar,CSP_storage,1990,0.4779
SH,electricity,solar,CSP_storage,1990,0.3882
SN,electricity,solar,CSP_storage,1990,0.5077
SX,electricity,solar,CSP_storage,1990,0.62
TJ,electricity,solar,CSP_storage,1990,0.5188
XJ,electricity,solar,CSP_storage,1990,0.647
XZ,electricity,solar,CSP_storage,1990,1.1447
YN,electricity,solar,CSP_storage,1990,0.6498
ZJ,electricity,solar,CSP_storage,1990,0.3842
AH,electricity,wind,wind,2015,0.19
BJ,electricity,solar,CSP,2005,0.2896
CQ,electricity,solar,CSP,2005,0.1257
FJ,electricity,solar,CSP,2005,0.1909
GD,electricity,solar,CSP,2005,0.1699
GS,electricity,solar,CSP,2005,0.3518
GX,electricity,solar,CSP,2005,0.1619
GZ,electricity,solar,CSP,2005,0.1825
HA,electricity,solar,CSP,2005,0.1938
HB,electricity,solar,CSP,2005,0.1596
HE,electricity,solar,CSP,2005,0.2888
HI,electricity,solar,CSP,2005,0.2357
HL,electricity,solar,CSP,2005,0.2439
HN,electricity,solar,CSP,2005,0.1471
JL,electricity,solar,CSP,2005,0.2365
JS,electricity,solar,CSP,2005,0.2064
JX,electricity,solar,CSP,2005,0.1761
LN,electricity,solar,CSP,2005,0.2531
NM,electricity,solar,CSP,2005,0.3481
NX,electricity,solar,CSP,2005,0.343
QH,electricity,solar,CSP,2005,0.4579
SC,electricity,solar,CSP,2005,0.212
SD,electricity,solar,CSP,2005,0.2404
SH,electricity,solar,CSP,2005,0.1953
SN,electricity,solar,CSP,2005,0.2554
SX,electricity,solar,CSP,2005,0.3119
TJ,electricity,solar,CSP,2005,0.261
XJ,electricity,solar,CSP,2005,0.3255
XZ,electricity,solar,CSP,2005,0.5759
YN,electricity,solar,CSP,2005,0.3269
ZJ,electricity,solar,CSP,2005,0.1933
AH,electricity,wind,wind,2020,0.19
BJ,electricity,solar,CSP_storage,2005,0.5756
CQ,electricity,solar,CSP_storage,2005,0.2498
FJ,electricity,solar,CSP_storage,2005,0.3795
GD,electricity,solar,CSP_storage,2005,0.3376
GS,electricity,solar,CSP_storage,2005,0.6991
GX,electricity,solar,CSP_storage,2005,0.3218
GZ,electricity,solar,CSP_storage,2005,0.3627
HA,electricity,solar,CSP_storage,2005,0.3851
HB,electricity,solar,CSP_storage,2005,0.3171
HE,electricity,solar,CSP_storage,2005,0.5741
HI,electricity,solar,CSP_storage,2005,0.4686
HL,electricity,solar,CSP_storage,2005,0.4847
HN,electricity,solar,CSP_storage,2005,0.2923
JL,electricity,solar,CSP_storage,2005,0.4701
JS,electricity,solar,CSP_storage,2005,0.4102
JX,electricity,solar,CSP_storage,2005,0.35
LN,electricity,solar,CSP_storage,2005,0.503
NM,electricity,solar,CSP_storage,2005,0.6918
NX,electricity,solar,CSP_storage,2005,0.6817
QH,electricity,solar,CSP_storage,2005,0.9101
SC,electricity,solar,CSP_storage,2005,0.4214
SD,electricity,solar,CSP_storage,2005,0.4779
SH,electricity,solar,CSP_storage,2005,0.3882
SN,electricity,solar,CSP_storage,2005,0.5077
SX,electricity,solar,CSP_storage,2005,0.62
TJ,electricity,solar,CSP_storage,2005,0.5188
XJ,electricity,solar,CSP_storage,2005,0.647
XZ,electricity,solar,CSP_storage,2005,1.1447
YN,electricity,solar,CSP_storage,2005,0.6498
ZJ,electricity,solar,CSP_storage,2005,0.3842
AH,electricity,wind,wind,2025,0.19
BJ,electricity,solar,CSP,2010,0.2896
CQ,electricity,solar,CSP,2010,0.1257
FJ,electricity,solar,CSP,2010,0.1909
GD,electricity,solar,CSP,2010,0.1699
GS,electricity,solar,CSP,2010,0.3518
GX,electricity,solar,CSP,2010,0.1619
GZ,electricity,solar,CSP,2010,0.1825
HA,electricity,solar,CSP,2010,0.1938
HB,electricity,solar,CSP,2010,0.1596
HE,electricity,solar,CSP,2010,0.2888
HI,electricity,solar,CSP,2010,0.2357
HL,electricity,solar,CSP,2010,0.2439
HN,electricity,solar,CSP,2010,0.1471
JL,electricity,solar,CSP,2010,0.2365
JS,electricity,solar,CSP,2010,0.2064
JX,electricity,solar,CSP,2010,0.1761
LN,electricity,solar,CSP,2010,0.2531
NM,electricity,solar,CSP,2010,0.3481
NX,electricity,solar,CSP,2010,0.343
QH,electricity,solar,CSP,2010,0.4579
SC,electricity,solar,CSP,2010,0.212
SD,electricity,solar,CSP,2010,0.2404
SH,electricity,solar,CSP,2010,0.1953
SN,electricity,solar,CSP,2010,0.2554
SX,electricity,solar,CSP,2010,0.3119
TJ,electricity,solar,CSP,2010,0.261
XJ,electricity,solar,CSP,2010,0.3255
XZ,electricity,solar,CSP,2010,0.5759
YN,electricity,solar,CSP,2010,0.3269
ZJ,electricity,solar,CSP,2010,0.1933
AH,electricity,wind,wind,2030,0.19
BJ,electricity,solar,CSP_storage,2010,0.5756
CQ,electricity,solar,CSP_storage,2010,0.2498
FJ,electricity,solar,CSP_storage,2010,0.3795
GD,electricity,solar,CSP_storage,2010,0.3376
GS,electricity,solar,CSP_storage,2010,0.6991
GX,electricity,solar,CSP_storage,2010,0.3218
GZ,electricity,solar,CSP_storage,2010,0.3627
HA,electricity,solar,CSP_storage,2010,0.3851
HB,electricity,solar,CSP_storage,2010,0.3171
HE,electricity,solar,CSP_storage,2010,0.5741
HI,electricity,solar,CSP_storage,2010,0.4686
HL,electricity,solar,CSP_storage,2010,0.4847
HN,electricity,solar,CSP_storage,2010,0.2923
JL,electricity,solar,CSP_storage,2010,0.4701
JS,electricity,solar,CSP_storage,2010,0.4102
JX,electricity,solar,CSP_storage,2010,0.35
LN,electricity,solar,CSP_storage,2010,0.503
NM,electricity,solar,CSP_storage,2010,0.6918
NX,electricity,solar,CSP_storage,2010,0.6817
QH,electricity,solar,CSP_storage,2010,0.9101
SC,electricity,solar,CSP_storage,2010,0.4214
SD,electricity,solar,CSP_storage,2010,0.4779
SH,electricity,solar,CSP_storage,2010,0.3882
SN,electricity,solar,CSP_storage,2010,0.5077
SX,electricity,solar,CSP_storage,2010,0.62
TJ,electricity,solar,CSP_storage,2010,0.5188
XJ,electricity,solar,CSP_storage,2010,0.647
XZ,electricity,solar,CSP_storage,2010,1.1447
YN,electricity,solar,CSP_storage,2010,0.6498
ZJ,electricity,solar,CSP_storage,2010,0.3842
AH,electricity,wind,wind,2035,0.19
BJ,electricity,solar,CSP,2015,0.2896
CQ,electricity,solar,CSP,2015,0.1257
FJ,electricity,solar,CSP,2015,0.1909
GD,electricity,solar,CSP,2015,0.1699
GS,electricity,solar,CSP,2015,0.3518
GX,electricity,solar,CSP,2015,0.1619
GZ,electricity,solar,CSP,2015,0.1825
HA,electricity,solar,CSP,2015,0.1938
HB,electricity,solar,CSP,2015,0.1596
HE,electricity,solar,CSP,2015,0.2888
HI,electricity,solar,CSP,2015,0.2357
HL,electricity,solar,CSP,2015,0.2439
HN,electricity,solar,CSP,2015,0.1471
JL,electricity,solar,CSP,2015,0.2365
JS,electricity,solar,CSP,2015,0.2064
JX,electricity,solar,CSP,2015,0.1761
LN,electricity,solar,CSP,2015,0.2531
NM,electricity,solar,CSP,2015,0.3481
NX,electricity,solar,CSP,2015,0.343
QH,electricity,solar,CSP,2015,0.4579
SC,electricity,solar,CSP,2015,0.212
SD,electricity,solar,CSP,2015,0.2404
SH,electricity,solar,CSP,2015,0.1953
SN,electricity,solar,CSP,2015,0.2554
SX,electricity,solar,CSP,2015,0.3119
TJ,electricity,solar,CSP,2015,0.261
XJ,electricity,solar,CSP,2015,0.3255
XZ,electricity,solar,CSP,2015,0.5759
YN,electricity,solar,CSP,2015,0.3269
ZJ,electricity,solar,CSP,2015,0.1933
AH,electricity,wind,wind,2040,0.19
BJ,electricity,solar,CSP_storage,2015,0.5756
CQ,electricity,solar,CSP_storage,2015,0.2498
FJ,electricity,solar,CSP_storage,2015,0.3795
GD,electricity,solar,CSP_storage,2015,0.3376
GS,electricity,solar,CSP_storage,2015,0.6991
GX,electricity,solar,CSP_storage,2015,0.3218
GZ,electricity,solar,CSP_storage,2015,0.3627
HA,electricity,solar,CSP_storage,2015,0.3851
HB,electricity,solar,CSP_storage,2015,0.3171
HE,electricity,solar,CSP_storage,2015,0.5741
HI,electricity,solar,CSP_storage,2015,0.4686
HL,electricity,solar,CSP_storage,2015,0.4847
HN,electricity,solar,CSP_storage,2015,0.2923
JL,electricity,solar,CSP_storage,2015,0.4701
JS,electricity,solar,CSP_storage,2015,0.4102
JX,electricity,solar,CSP_storage,2015,0.35
LN,electricity,solar,CSP_storage,2015,0.503
NM,electricity,solar,CSP_storage,2015,0.6918
NX,electricity,solar,CSP_storage,2015,0.6817
QH,electricity,solar,CSP_storage,2015,0.9101
SC,electricity,solar,CSP_storage,2015,0.4214
SD,electricity,solar,CSP_storage,2015,0.4779
SH,electricity,solar,CSP_storage,2015,0.3882
SN,electricity,solar,CSP_storage,2015,0.5077
SX,electricity,solar,CSP_storage,2015,0.62
TJ,electricity,solar,CSP_storage,2015,0.5188
XJ,electricity,solar,CSP_storage,2015,0.647
XZ,electricity,solar,CSP_storage,2015,1.1447
YN,electricity,solar,CSP_storage,2015,0.6498
ZJ,electricity,solar,CSP_storage,2015,0.3842
AH,electricity,wind,wind,2045,0.19
BJ,electricity,solar,CSP,2020,0.2896
CQ,electricity,solar,CSP,2020,0.1257
FJ,electricity,solar,CSP,2020,0.1909
GD,electricity,solar,CSP,2020,0.1699
GS,electricity,solar,CSP,2020,0.3518
GX,electricity,solar,CSP,2020,0.1619
GZ,electricity,solar,CSP,2020,0.1825
HA,electricity,solar,CSP,2020,0.1938
HB,electricity,solar,CSP,2020,0.1596
HE,electricity,solar,CSP,2020,0.2888
HI,electricity,solar,CSP,2020,0.2357
HL,electricity,solar,CSP,2020,0.2439
HN,electricity,solar,CSP,2020,0.1471
JL,electricity,solar,CSP,2020,0.2365
JS,electricity,solar,CSP,2020,0.2064
JX,electricity,solar,CSP,2020,0.1761
LN,electricity,solar,CSP,2020,0.2531
NM,electricity,solar,CSP,2020,0.3481
NX,electricity,solar,CSP,2020,0.343
QH,electricity,solar,CSP,2020,0.4579
SC,electricity,solar,CSP,2020,0.212
SD,electricity,solar,CSP,2020,0.2404
SH,electricity,solar,CSP,2020,0.1953
SN,electricity,solar,CSP,2020,0.2554
SX,electricity,solar,CSP,2020,0.3119
TJ,electricity,solar,CSP,2020,0.261
XJ,electricity,solar,CSP,2020,0.3255
XZ,electricity,solar,CSP,2020,0.5759
YN,electricity,solar,CSP,2020,0.3269
ZJ,electricity,solar,CSP,2020,0.1933
AH,electricity,wind,wind,2050,0.19
BJ,electricity,solar,CSP_storage,2020,0.5756
CQ,electricity,solar,CSP_storage,2020,0.2498
FJ,electricity,solar,CSP_storage,2020,0.3795
GD,electricity,solar,CSP_storage,2020,0.3376
GS,electricity,solar,CSP_storage,2020,0.6991
GX,electricity,solar,CSP_storage,2020,0.3218
GZ,electricity,solar,CSP_storage,2020,0.3627
HA,electricity,solar,CSP_storage,2020,0.3851
HB,electricity,solar,CSP_storage,2020,0.3171
HE,electricity,solar,CSP_storage,2020,0.5741
HI,electricity,solar,CSP_storage,2020,0.4686
HL,electricity,solar,CSP_storage,2020,0.4847
HN,electricity,solar,CSP_storage,2020,0.2923
JL,electricity,solar,CSP_storage,2020,0.4701
JS,electricity,solar,CSP_storage,2020,0.4102
JX,electricity,solar,CSP_storage,2020,0.35
LN,electricity,solar,CSP_storage,2020,0.503
NM,electricity,solar,CSP_storage,2020,0.6918
NX,electricity,solar,CSP_storage,2020,0.6817
QH,electricity,solar,CSP_storage,2020,0.9101
SC,electricity,solar,CSP_storage,2020,0.4214
SD,electricity,solar,CSP_storage,2020,0.4779
SH,electricity,solar,CSP_storage,2020,0.3882
SN,electricity,solar,CSP_storage,2020,0.5077
SX,electricity,solar,CSP_storage,2020,0.62
TJ,electricity,solar,CSP_storage,2020,0.5188
XJ,electricity,solar,CSP_storage,2020,0.647
XZ,electricity,solar,CSP_storage,2020,1.1447
YN,electricity,solar,CSP_storage,2020,0.6498
ZJ,electricity,solar,CSP_storage,2020,0.3842
AH,electricity,wind,wind,2055,0.19
BJ,electricity,solar,CSP,2025,0.2896
CQ,electricity,solar,CSP,2025,0.1257
FJ,electricity,solar,CSP,2025,0.1909
GD,electricity,solar,CSP,2025,0.1699
